relative_path,label,speaker_id,scenario,split,system_id,attack_id,env_id,snr_type,snr_level,key
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000001.flac,0,PA_0079,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000002.flac,0,PA_0079,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000003.flac,0,PA_0079,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000004.flac,0,PA_0079,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000005.flac,0,PA_0079,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000006.flac,0,PA_0079,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000007.flac,0,PA_0079,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000008.flac,0,PA_0079,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000009.flac,0,PA_0079,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000010.flac,0,PA_0079,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000011.flac,0,PA_0080,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000012.flac,0,PA_0080,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000013.flac,0,PA_0080,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000014.flac,0,PA_0080,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000015.flac,0,PA_0080,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000016.flac,0,PA_0080,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000017.flac,0,PA_0080,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000018.flac,0,PA_0080,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000019.flac,0,PA_0080,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000020.flac,0,PA_0080,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000021.flac,0,PA_0081,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000022.flac,0,PA_0081,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000023.flac,0,PA_0081,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000024.flac,0,PA_0081,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000025.flac,0,PA_0081,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000026.flac,0,PA_0081,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000027.flac,0,PA_0081,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000028.flac,0,PA_0081,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000029.flac,0,PA_0081,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000030.flac,0,PA_0081,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000031.flac,0,PA_0082,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000032.flac,0,PA_0082,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000033.flac,0,PA_0082,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000034.flac,0,PA_0082,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000035.flac,0,PA_0082,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000036.flac,0,PA_0082,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000037.flac,0,PA_0082,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000038.flac,0,PA_0082,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000039.flac,0,PA_0082,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000040.flac,0,PA_0082,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000041.flac,0,PA_0083,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000042.flac,0,PA_0083,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000043.flac,0,PA_0083,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000044.flac,0,PA_0083,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000045.flac,0,PA_0083,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000046.flac,0,PA_0083,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000047.flac,0,PA_0083,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000048.flac,0,PA_0083,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000049.flac,0,PA_0083,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000050.flac,0,PA_0083,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000051.flac,0,PA_0084,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000052.flac,0,PA_0084,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000053.flac,0,PA_0084,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000054.flac,0,PA_0084,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000055.flac,0,PA_0084,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000056.flac,0,PA_0084,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000057.flac,0,PA_0084,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000058.flac,0,PA_0084,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000059.flac,0,PA_0084,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000060.flac,0,PA_0084,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000061.flac,0,PA_0085,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000062.flac,0,PA_0085,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000063.flac,0,PA_0085,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000064.flac,0,PA_0085,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000065.flac,0,PA_0085,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000066.flac,0,PA_0085,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000067.flac,0,PA_0085,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000068.flac,0,PA_0085,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000069.flac,0,PA_0085,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000070.flac,0,PA_0085,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000071.flac,0,PA_0086,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000072.flac,0,PA_0086,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000073.flac,0,PA_0086,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000074.flac,0,PA_0086,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000075.flac,0,PA_0086,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000076.flac,0,PA_0086,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000077.flac,0,PA_0086,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000078.flac,0,PA_0086,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000079.flac,0,PA_0086,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000080.flac,0,PA_0086,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000081.flac,0,PA_0087,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000082.flac,0,PA_0087,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000083.flac,0,PA_0087,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000084.flac,0,PA_0087,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000085.flac,0,PA_0087,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000086.flac,0,PA_0087,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000087.flac,0,PA_0087,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000088.flac,0,PA_0087,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000089.flac,0,PA_0087,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000090.flac,0,PA_0087,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000091.flac,0,PA_0088,PA,train,,-,aaa,none,clean,bonafide
PA/PA/ASVspoof2019_PA_train/flac/PA_T_0000092.flac,0,PA_0088,PA,train,,-,aaa,none,clean,bonafide
